GraphID, DataSetID, Algorithm, Elapsed Time
Graph_101, DataSet_100_101, CPC Stable, 0.043262053 s
Graph_102, DataSet_100_102, CPC Stable, 0.029041654 s
Graph_103, DataSet_100_103, CPC Stable, 0.037168819 s
Graph_104, DataSet_100_104, CPC Stable, 0.029638661 s
Graph_105, DataSet_100_105, CPC Stable, 0.022825254 s
Graph_106, DataSet_100_106, CPC Stable, 0.031836383 s
Graph_107, DataSet_100_107, CPC Stable, 0.023057471 s
Graph_108, DataSet_100_108, CPC Stable, 0.028956978 s
Graph_109, DataSet_100_109, CPC Stable, 0.027777504 s
Graph_110, DataSet_100_110, CPC Stable, 0.027495252 s
Graph_111, DataSet_100_111, CPC Stable, 0.030500387 s
Graph_112, DataSet_100_112, CPC Stable, 0.026605301 s
Graph_113, DataSet_100_113, CPC Stable, 0.026175935 s
Graph_114, DataSet_100_114, CPC Stable, 0.026183206 s
Graph_115, DataSet_100_115, CPC Stable, 0.027700099 s
Graph_116, DataSet_100_116, CPC Stable, 0.027188196 s
Graph_117, DataSet_100_117, CPC Stable, 0.026820839 s
Graph_118, DataSet_100_118, CPC Stable, 0.030644934 s
Graph_119, DataSet_100_119, CPC Stable, 0.02561314 s
Graph_120, DataSet_100_120, CPC Stable, 0.025207723 s
Graph_101, DataSet_100_101, PC Max, 0.041023705 s
Graph_101, DataSet_100_101, PC Stable, 0.032182783 s
Graph_102, DataSet_100_102, PC Max, 0.028728183 s
Graph_102, DataSet_100_102, PC Stable, 0.028540442 s
Graph_103, DataSet_100_103, PC Max, 0.026157118 s
Graph_103, DataSet_100_103, PC Stable, 0.025818415 s
Graph_104, DataSet_100_104, PC Max, 0.030347714 s
Graph_104, DataSet_100_104, PC Stable, 0.02512262 s
Graph_105, DataSet_100_105, PC Max, 0.022065738 s
Graph_105, DataSet_100_105, PC Stable, 0.020544995 s
Graph_106, DataSet_100_106, PC Max, 0.029765675 s
Graph_106, DataSet_100_106, PC Stable, 0.025665315 s
