Algorithm 	 TrueGraphID 	 Sample Size 	 Alpha/Penalty 	 AP 	 AR 	 AHP 	 AHR,	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_101_C	100	1.0E-4	0.9649122807017544	0.36666666666666664	1.0	0.04	243.0	0.5314009661835748	0.07692307692307693
CPC	Graph_100_101_C	100	0.001	0.9402985074626866	0.42	1.0	0.06666666666666667	235.0	0.5806451612903226	0.125
CPC	Graph_100_101_C	100	0.01	0.9625	0.5133333333333333	1.0	0.15333333333333332	206.0	0.6695652173913044	0.2658959537572254
CPC	Graph_100_101_C	100	0.03	0.9438202247191011	0.56	0.9354838709677419	0.19333333333333333	197.0	0.7029288702928871	0.32044198895027626
CPC	Graph_100_101_C	100	0.05	0.8673469387755102	0.5666666666666667	0.9411764705882353	0.21333333333333335	209.0	0.685483870967742	0.3478260869565218
CPC	Graph_100_101_C	100	0.08	0.8317757009345794	0.5933333333333334	0.9	0.24	211.0	0.6926070038910506	0.3789473684210526
CPC	Graph_100_101_C	100	0.1	0.8518518518518519	0.6133333333333333	0.925	0.24666666666666667	203.0	0.7131782945736435	0.38947368421052636
CPC	Graph_100_102_C	100	1.0E-4	0.9464285714285714	0.35333333333333333	1.0	0.06666666666666667	243.0	0.5145631067961165	0.125
CPC	Graph_100_102_C	100	0.001	0.9710144927536232	0.44666666666666666	1.0	0.08	225.0	0.6118721461187215	0.14814814814814814
CPC	Graph_100_102_C	100	0.01	0.961038961038961	0.49333333333333335	0.9583333333333334	0.15333333333333332	210.0	0.6519823788546255	0.264367816091954
CPC	Graph_100_102_C	100	0.03	0.8953488372093024	0.5133333333333333	0.9545454545454546	0.14	221.0	0.6525423728813559	0.24418604651162792
CPC	Graph_100_102_C	100	0.05	0.8446601941747572	0.58	0.9166666666666666	0.22	214.0	0.6877470355731224	0.3548387096774193
CPC	Graph_100_102_C	100	0.08	0.8333333333333334	0.6	0.925	0.24666666666666667	211.0	0.6976744186046512	0.38947368421052636
CPC	Graph_100_102_C	100	0.1	0.8070175438596491	0.6133333333333333	0.9318181818181818	0.2733333333333333	213.0	0.696969696969697	0.42268041237113396
CPC	Graph_100_103_C	100	1.0E-4	0.9838709677419355	0.4066666666666667	1.0	0.02666666666666667	237.0	0.5754716981132075	0.05194805194805195
CPC	Graph_100_103_C	100	0.001	0.9855072463768116	0.4533333333333333	1.0	0.05333333333333334	226.0	0.6210045662100456	0.10126582278481014
CPC	Graph_100_103_C	100	0.01	0.9518072289156626	0.5266666666666666	1.0	0.16666666666666666	204.0	0.6781115879828326	0.2857142857142857
CPC	Graph_100_103_C	100	0.03	0.945054945054945	0.5733333333333334	1.0	0.19333333333333333	195.0	0.7136929460580913	0.3240223463687151
