Algorithm 	 TrueGraphID 	 Sample Size 	 AP 	 AR 	 AHP 	 AHR 	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_101_C	100	0.8518518518518519	0.6133333333333333	0.925	0.24666666666666667	203.0	0.7131782945736435	0.38947368421052636
CPC	Graph_100_102_C	100	0.8070175438596491	0.6133333333333333	0.9318181818181818	0.2733333333333333	213.0	0.696969696969697	0.42268041237113396
CPC	Graph_100_103_C	100	0.7931034482758621	0.6133333333333333	0.8809523809523809	0.24666666666666667	222.0	0.6917293233082706	0.3854166666666667
CPC	Graph_100_104_C	100	0.816	0.68	0.9491525423728814	0.37333333333333335	190.0	0.7418181818181818	0.5358851674641149
CPC	Graph_100_105_C	100	0.7933884297520661	0.64	0.9107142857142857	0.34	207.0	0.7084870848708487	0.4951456310679612
CPC	Graph_100_106_C	100	0.8461538461538461	0.66	0.9629629629629629	0.3466666666666667	185.0	0.7415730337078651	0.5098039215686275
CPC	Graph_100_107_C	100	0.8245614035087719	0.6266666666666667	0.8292682926829268	0.22666666666666666	215.0	0.7121212121212122	0.35602094240837695
CPC	Graph_100_108_C	100	0.819672131147541	0.6666666666666666	0.9833333333333333	0.3933333333333333	185.0	0.7352941176470588	0.5619047619047619
CPC	Graph_100_109_C	100	0.8319327731092437	0.66	0.8771929824561403	0.3333333333333333	195.0	0.7360594795539034	0.4830917874396135
CPC	Graph_100_110_C	100	0.856	0.7133333333333334	0.9491525423728814	0.37333333333333335	176.0	0.7781818181818182	0.5358851674641149
CPC	Graph_100_111_C	100	0.7709923664122137	0.6733333333333333	0.8955223880597015	0.4	203.0	0.7188612099644129	0.5529953917050692
CPC	Graph_100_112_C	100	0.8181818181818182	0.72	0.9833333333333333	0.3933333333333333	182.0	0.7659574468085107	0.5619047619047619
CPC	Graph_100_113_C	100	0.847457627118644	0.6666666666666666	0.9622641509433962	0.34	186.0	0.7462686567164178	0.5024630541871921
CPC	Graph_100_114_C	100	0.8859649122807017	0.6733333333333333	0.9298245614035088	0.35333333333333333	175.0	0.7651515151515151	0.5120772946859903
CPC	Graph_100_115_C	100	0.8046875	0.6866666666666666	0.8787878787878788	0.38666666666666666	196.0	0.7410071942446043	0.537037037037037
